                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.72376,                0.55757,                 1.2259,                0.82424,                0.77319,                0.83898,                0.60424,                0.96124,                0.71333,                 1.5535,               0.002377,               0.002377,               0.002377
                     79,                0.72216,                0.55345,                 1.2257,                0.82597,                0.77144,                0.83883,                0.60401,                0.96144,                0.71344,                 1.5539,               0.002278,               0.002278,               0.002278
                     80,                0.71158,                0.54308,                  1.219,                0.82752,                0.77197,                0.83905,                0.60327,                 0.9619,                0.71372,                 1.5542,               0.002179,               0.002179,               0.002179
                     81,                0.71272,                0.54283,                 1.2181,                0.82798,                0.77188,                0.83924,                0.60358,                 0.9625,                0.71279,                 1.5543,                0.00208,                0.00208,                0.00208
                     82,                0.71359,                0.53499,                 1.2141,                0.82889,                0.77079,                0.83869,                0.60289,                0.96335,                 0.7133,                  1.555,               0.001981,               0.001981,               0.001981
                     83,                0.70542,                0.53505,                 1.2132,                0.82989,                0.77106,                0.83861,                0.60212,                 0.9643,                0.71372,                 1.5558,               0.001882,               0.001882,               0.001882
                     84,                0.69575,                0.52319,                 1.2073,                0.82968,                0.77175,                0.83842,                0.60181,                0.96518,                0.71313,                 1.5566,               0.001783,               0.001783,               0.001783
                     85,                0.69068,                0.52002,                 1.2027,                0.82944,                0.77247,                0.83808,                0.60155,                0.96567,                0.71303,                 1.5569,               0.001684,               0.001684,               0.001684
                     86,                0.68992,                0.51719,                 1.2024,                0.83002,                0.77197,                0.83788,                0.60158,                0.96639,                0.71375,                 1.5574,               0.001585,               0.001585,               0.001585
                     87,                0.68762,                0.51124,                 1.2008,                 0.8306,                  0.772,                0.83772,                 0.6018,                 0.9674,                0.71389,                 1.5579,               0.001486,               0.001486,               0.001486
                     88,                0.68168,                0.50657,                 1.1956,                0.82991,                0.77223,                0.83743,                0.60126,                0.96827,                0.71395,                 1.5584,               0.001387,               0.001387,               0.001387
                     89,                0.68261,                0.50475,                 1.1947,                0.82736,                 0.7725,                0.83706,                0.60117,                0.96829,                 0.7145,                  1.558,               0.001288,               0.001288,               0.001288
                     90,                0.61984,                0.39036,                 1.1779,                0.82407,                0.77533,                0.83701,                0.60059,                0.96947,                0.71512,                 1.5589,               0.001189,               0.001189,               0.001189
                     91,                0.60772,                0.38249,                 1.1685,                0.82499,                0.77517,                 0.8369,                0.60045,                0.97008,                0.71567,                 1.5591,                0.00109,                0.00109,                0.00109
                     92,                0.59981,                0.37059,                 1.1606,                0.82586,                0.77298,                0.83658,                0.59899,                0.96967,                 0.7162,                 1.5582,               0.000991,               0.000991,               0.000991
                     93,                0.58783,                0.36185,                 1.1509,                0.82548,                0.77251,                0.83604,                  0.599,                 0.9691,                0.71625,                 1.5567,               0.000892,               0.000892,               0.000892
                     94,                0.58295,                0.35277,                 1.1467,                0.82305,                0.77391,                0.83569,                0.59949,                 0.9687,                0.71633,                 1.5556,               0.000793,               0.000793,               0.000793
                     95,                0.57704,                 0.3456,                 1.1399,                0.82129,                0.77531,                0.83556,                 0.5985,                 0.9686,                0.71659,                  1.555,               0.000694,               0.000694,               0.000694
                     96,                0.56948,                0.34089,                 1.1329,                0.82251,                0.77318,                0.83555,                0.59883,                  0.968,                0.71638,                 1.5542,               0.000595,               0.000595,               0.000595
                     97,                 0.5626,                0.33155,                 1.1307,                0.82163,                 0.7733,                0.83571,                0.59892,                0.96728,                0.71657,                  1.553,               0.000496,               0.000496,               0.000496
                     98,                 0.5504,                0.32832,                  1.121,                0.82133,                0.77318,                0.83526,                 0.5992,                0.96664,                0.71714,                 1.5518,               0.000397,               0.000397,               0.000397
                     99,                0.54608,                0.32392,                 1.1175,                0.82107,                0.77168,                0.83488,                0.59954,                0.96588,                0.71754,                 1.5504,               0.000298,               0.000298,               0.000298
